Date,License Plate,Description,Camera,Site,Cleaned License Plate,Validation Reason,Make,Type Approval,Lookup Status,Lookup Status Code
11/04/2025 07:39:19 AM UTC,YB19VSZ,,CB52-E Bullet Camera,Coventry,YB19VSZ,Valid UK current registration format,BMW,M1,Success,0
11/04/2025 07:19:30 AM UTC,PK20YJP,,CB52-E Bullet Camera,Coventry,PK20YJP,Valid UK current registration format,AUDI,M1,Success,0
11/04/2025 05:18:30 AM UTC,KE212RV,,CB52-E Bullet Camera,Coventry,KE212RV,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/04/2025 03:07:54 AM UTC,HS6BY0G,,CB52-E Bullet Camera,Coventry,HS6BY0G,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/04/2025 12:55:33 AM UTC,NU74HKF,,CB52-E Bullet Camera,Coventry,NU74HKF,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/04/2025 12:38:57 AM UTC,BX73FXH,,CB52-E Bullet Camera,Coventry,BX73FXH,Valid UK current registration format,TOYOTA,M1,Success,0
11/03/2025 11:24:27 PM UTC,ML68VTE,,CB52-E Bullet Camera,Coventry,ML68VTE,Valid UK current registration format,CITROEN,N1,Success,0
11/03/2025 11:08:45 PM UTC,RE12JJV,,CB52-E Bullet Camera,Coventry,RE12JJV,Valid UK current registration format,SMART,M1,Success,0
11/03/2025 10:33:59 PM UTC,LG72DSZ,,CB52-E Bullet Camera,Coventry,LG72DSZ,Valid UK current registration format,BYD,,SuccessWithResultsBlockWarnings,1
11/03/2025 10:29:46 PM UTC,PE15WZU,,CB52-E Bullet Camera,Coventry,PE15WZU,Valid UK current registration format,HYUNDAI,M1,Success,0
11/03/2025 10:26:40 PM UTC,FL12TX0,,CB52-E Bullet Camera,Coventry,FL12TX0,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 10:05:13 PM UTC,VF22BJV,,CB52-E Bullet Camera,Coventry,VF22BJV,Valid UK current registration format,LAND ROVER,,SuccessWithResultsBlockWarnings,1
11/03/2025 09:58:05 PM UTC,0E17XMR,,CB52-E Bullet Camera,Coventry,0E17XMR,"Starts with zero, likely OCR confusion",,,Skipped before API,PRE_VALIDATION_FAILED
11/03/2025 09:12:09 PM UTC,YD678ZW,,CB52-E Bullet Camera,Coventry,YD678ZW,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 09:05:25 PM UTC,EF600EB,,CB52-E Bullet Camera,Coventry,EF600EB,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 09:04:31 PM UTC,KM65VBF,,CB52-E Bullet Camera,Coventry,KM65VBF,Valid UK current registration format,VOLKSWAGEN,M1,Success,0
